===============================
Start experiment at Sat Sep 27 15:38:20 UTC 2025
Config: batch_size=256, hidden=30, lr=0.005, epochs=160
[15:38:21] Running experiment with batch_size=256, hidden=30, lr=0.005, epochs=160, glob_interval=200, shuffle=True
[15:38:36] Data loading time: 14.451 sec
[15:38:53] Epoch 1: Loss=8.256887, Train RMSE=7.950413, Test RMSE=7.941709, Time=16.389 sec
[15:39:10] Epoch 2: Loss=7.863980, Train RMSE=7.793650, Test RMSE=7.785384, Time=17.165 sec
[15:39:24] Epoch 3: Loss=7.743246, Train RMSE=7.701554, Test RMSE=7.693628, Time=14.562 sec
[15:39:57] Epoch 4: Loss=7.666578, Train RMSE=7.638658, Test RMSE=7.630902, Time=32.454 sec
[15:40:12] Epoch 5: Loss=7.610277, Train RMSE=7.588167, Test RMSE=7.580550, Time=15.145 sec
[15:40:27] Epoch 6: Loss=7.563263, Train RMSE=7.544989, Test RMSE=7.537469, Time=15.372 sec
[15:40:47] Epoch 7: Loss=7.519894, Train RMSE=7.502754, Test RMSE=7.495232, Time=19.604 sec
[15:41:42] Epoch 8: Loss=7.477362, Train RMSE=7.459950, Test RMSE=7.452421, Time=54.878 sec
[15:42:00] Epoch 9: Loss=7.433622, Train RMSE=7.416428, Test RMSE=7.408922, Time=17.860 sec
[15:42:16] Epoch 10: Loss=7.387556, Train RMSE=7.370086, Test RMSE=7.362599, Time=16.213 sec
[15:42:33] Epoch 11: Loss=7.337888, Train RMSE=7.320195, Test RMSE=7.312857, Time=17.349 sec
[15:42:49] Epoch 12: Loss=7.285370, Train RMSE=7.268050, Test RMSE=7.260915, Time=16.020 sec
[15:43:04] Epoch 13: Loss=7.229973, Train RMSE=7.212829, Test RMSE=7.206065, Time=15.085 sec
[15:43:20] Epoch 14: Loss=7.172193, Train RMSE=7.158159, Test RMSE=7.151889, Time=15.752 sec
[15:43:36] Epoch 15: Loss=7.112871, Train RMSE=7.098294, Test RMSE=7.092729, Time=16.100 sec
[15:44:11] Epoch 16: Loss=7.051265, Train RMSE=7.038063, Test RMSE=7.033406, Time=34.819 sec
[15:45:13] Epoch 17: Loss=6.989348, Train RMSE=6.977131, Test RMSE=6.973447, Time=61.835 sec
[15:45:29] Epoch 18: Loss=6.928102, Train RMSE=6.917900, Test RMSE=6.915239, Time=15.763 sec
[15:45:46] Epoch 19: Loss=6.866558, Train RMSE=6.859516, Test RMSE=6.857791, Time=17.272 sec
[15:46:03] Epoch 20: Loss=6.808546, Train RMSE=6.801228, Test RMSE=6.800745, Time=16.975 sec
[15:46:26] Epoch 21: Loss=6.749875, Train RMSE=6.748299, Test RMSE=6.748778, Time=22.587 sec
[15:46:59] Epoch 22: Loss=6.694263, Train RMSE=6.697206, Test RMSE=6.698287, Time=33.674 sec
[15:47:21] Epoch 23: Loss=6.642861, Train RMSE=6.648036, Test RMSE=6.650121, Time=22.109 sec
[15:47:37] Epoch 24: Loss=6.594226, Train RMSE=6.599000, Test RMSE=6.602367, Time=16.031 sec
[15:47:54] Epoch 25: Loss=6.549054, Train RMSE=6.553487, Test RMSE=6.557667, Time=16.784 sec
[15:48:11] Epoch 26: Loss=6.504696, Train RMSE=6.516750, Test RMSE=6.521234, Time=16.305 sec
[15:48:27] Epoch 27: Loss=6.467650, Train RMSE=6.477131, Test RMSE=6.482535, Time=16.054 sec
[15:48:42] Epoch 28: Loss=6.430307, Train RMSE=6.441302, Test RMSE=6.447127, Time=15.766 sec
[15:48:58] Epoch 29: Loss=6.397476, Train RMSE=6.408204, Test RMSE=6.414247, Time=15.420 sec
[15:49:14] Epoch 30: Loss=6.365866, Train RMSE=6.378037, Test RMSE=6.384434, Time=15.749 sec
[15:49:29] Epoch 31: Loss=6.336197, Train RMSE=6.350697, Test RMSE=6.357106, Time=15.595 sec
[15:49:45] Epoch 32: Loss=6.308948, Train RMSE=6.323412, Test RMSE=6.329451, Time=15.695 sec
[15:50:00] Epoch 33: Loss=6.284521, Train RMSE=6.294643, Test RMSE=6.301733, Time=15.226 sec
[15:50:15] Epoch 34: Loss=6.257801, Train RMSE=6.274692, Test RMSE=6.280575, Time=15.177 sec
[15:50:32] Epoch 35: Loss=6.237891, Train RMSE=6.249622, Test RMSE=6.255753, Time=16.676 sec
[15:50:50] Epoch 36: Loss=6.216738, Train RMSE=6.226671, Test RMSE=6.233266, Time=18.123 sec
