===============================
Start experiment at Sat Sep 27 17:55:25 UTC 2025
Config: batch_size=64, hidden=30, lr=0.005, epochs=160
[17:55:28] Running experiment with batch_size=64, hidden=30, lr=0.005, epochs=160, glob_interval=200, shuffle=True
[17:55:41] Data loading time: 13.256 sec
[17:56:43] Epoch 1: Loss=7.458199, Train RMSE=7.233595, Test RMSE=7.219976, Time=61.939 sec
[17:57:38] Epoch 2: Loss=6.586715, Train RMSE=6.626251, Test RMSE=6.614496, Time=55.529 sec
[17:58:34] Epoch 3: Loss=6.161126, Train RMSE=6.380972, Test RMSE=6.366685, Time=55.989 sec
[17:59:43] Epoch 4: Loss=5.994486, Train RMSE=6.318872, Test RMSE=6.302388, Time=68.231 sec
[18:01:01] Epoch 5: Loss=5.923595, Train RMSE=6.229652, Test RMSE=6.212818, Time=78.014 sec
[18:01:54] Epoch 6: Loss=5.865147, Train RMSE=6.221011, Test RMSE=6.204196, Time=53.773 sec
[18:02:52] Epoch 7: Loss=5.826846, Train RMSE=6.214673, Test RMSE=6.197483, Time=57.938 sec
[18:03:50] Epoch 8: Loss=5.793848, Train RMSE=6.187127, Test RMSE=6.170262, Time=57.435 sec
[18:04:49] Epoch 9: Loss=5.743855, Train RMSE=6.357088, Test RMSE=6.339832, Time=59.390 sec
[18:05:52] Epoch 10: Loss=5.718544, Train RMSE=6.267639, Test RMSE=6.249628, Time=62.387 sec
[18:06:51] Epoch 11: Loss=5.691778, Train RMSE=6.290919, Test RMSE=6.273395, Time=58.902 sec
[18:07:50] Epoch 12: Loss=5.677680, Train RMSE=6.236912, Test RMSE=6.219238, Time=59.882 sec
[18:08:49] Epoch 13: Loss=5.650689, Train RMSE=6.239763, Test RMSE=6.222082, Time=58.295 sec
[18:10:08] Epoch 14: Loss=5.616523, Train RMSE=6.344725, Test RMSE=6.328050, Time=78.980 sec
[18:11:08] Epoch 15: Loss=5.602000, Train RMSE=6.458433, Test RMSE=6.441229, Time=60.165 sec
[18:12:36] Epoch 16: Loss=5.597496, Train RMSE=6.308980, Test RMSE=6.292226, Time=88.177 sec
[18:13:33] Epoch 17: Loss=5.564041, Train RMSE=6.391828, Test RMSE=6.374714, Time=57.151 sec
[18:14:31] Epoch 18: Loss=5.561305, Train RMSE=6.388152, Test RMSE=6.372656, Time=58.138 sec
[18:15:30] Epoch 19: Loss=5.533049, Train RMSE=6.478815, Test RMSE=6.462829, Time=58.897 sec
[18:16:28] Epoch 20: Loss=5.523418, Train RMSE=6.575891, Test RMSE=6.561704, Time=57.175 sec
[18:17:24] Epoch 21: Loss=5.513186, Train RMSE=6.395476, Test RMSE=6.379475, Time=56.692 sec
[18:18:20] Epoch 22: Loss=5.498247, Train RMSE=6.457245, Test RMSE=6.441429, Time=55.822 sec
[18:19:18] Epoch 23: Loss=5.477247, Train RMSE=6.552361, Test RMSE=6.538163, Time=57.659 sec
[18:20:32] Epoch 24: Loss=5.469861, Train RMSE=6.447399, Test RMSE=6.432249, Time=74.521 sec
[18:21:28] Epoch 25: Loss=5.450602, Train RMSE=6.468856, Test RMSE=6.453399, Time=55.532 sec
[18:22:35] Epoch 26: Loss=5.434735, Train RMSE=6.575693, Test RMSE=6.560532, Time=66.940 sec
[18:23:52] Epoch 27: Loss=5.416173, Train RMSE=6.554481, Test RMSE=6.540740, Time=77.432 sec
[18:24:48] Epoch 28: Loss=5.403752, Train RMSE=6.578855, Test RMSE=6.564816, Time=55.364 sec
[18:25:43] Epoch 29: Loss=5.382599, Train RMSE=6.451252, Test RMSE=6.436670, Time=55.680 sec
[18:26:38] Epoch 30: Loss=5.361576, Train RMSE=6.507164, Test RMSE=6.492292, Time=54.772 sec
[18:27:35] Epoch 31: Loss=5.337028, Train RMSE=6.445980, Test RMSE=6.432310, Time=56.663 sec
[18:28:32] Epoch 32: Loss=5.321791, Train RMSE=6.502556, Test RMSE=6.489023, Time=57.222 sec
[18:29:36] Epoch 33: Loss=5.290011, Train RMSE=6.420097, Test RMSE=6.407144, Time=64.441 sec
[18:30:58] Epoch 34: Loss=5.265395, Train RMSE=6.260530, Test RMSE=6.248576, Time=81.544 sec
[18:31:53] Epoch 35: Loss=5.235377, Train RMSE=6.223060, Test RMSE=6.212985, Time=55.227 sec
[18:32:49] Epoch 36: Loss=5.211615, Train RMSE=6.219562, Test RMSE=6.210155, Time=55.618 sec
[18:34:12] Epoch 37: Loss=5.182872, Train RMSE=6.022599, Test RMSE=6.012254, Time=83.249 sec
[18:35:15] Epoch 38: Loss=5.152141, Train RMSE=5.921328, Test RMSE=5.911388, Time=62.726 sec
[18:36:11] Epoch 39: Loss=5.130642, Train RMSE=5.922406, Test RMSE=5.920502, Time=55.879 sec
[18:37:09] Epoch 40: Loss=5.099039, Train RMSE=5.770660, Test RMSE=5.763290, Time=58.709 sec
[18:38:07] Epoch 41: Loss=5.068659, Train RMSE=5.691157, Test RMSE=5.689836, Time=57.525 sec
[18:39:03] Epoch 42: Loss=5.041643, Train RMSE=5.813755, Test RMSE=5.806470, Time=56.273 sec
[18:39:58] Epoch 43: Loss=5.024775, Train RMSE=5.571977, Test RMSE=5.564047, Time=55.205 sec
[18:41:14] Epoch 44: Loss=5.011877, Train RMSE=5.715765, Test RMSE=5.717883, Time=75.503 sec
[18:42:15] Epoch 45: Loss=4.994616, Train RMSE=5.486515, Test RMSE=5.484622, Time=60.642 sec
[18:43:12] Epoch 46: Loss=4.976145, Train RMSE=5.439018, Test RMSE=5.435806, Time=57.248 sec
[18:44:10] Epoch 47: Loss=4.957938, Train RMSE=5.343508, Test RMSE=5.335354, Time=58.466 sec
[18:45:37] Epoch 48: Loss=4.954027, Train RMSE=5.376563, Test RMSE=5.380815, Time=86.316 sec
[18:46:34] Epoch 49: Loss=4.937882, Train RMSE=5.302588, Test RMSE=5.309544, Time=57.464 sec
[18:47:31] Epoch 50: Loss=4.934261, Train RMSE=5.276040, Test RMSE=5.276312, Time=56.519 sec
[18:48:30] Epoch 51: Loss=4.902164, Train RMSE=5.271816, Test RMSE=5.279861, Time=58.907 sec
[18:49:30] Epoch 52: Loss=4.914936, Train RMSE=5.272150, Test RMSE=5.277568, Time=60.609 sec
[18:50:28] Epoch 53: Loss=4.896203, Train RMSE=5.311507, Test RMSE=5.327597, Time=58.160 sec
[18:51:41] Epoch 54: Loss=4.886847, Train RMSE=5.193872, Test RMSE=5.206614, Time=72.465 sec
[18:52:35] Epoch 55: Loss=4.881086, Train RMSE=5.333304, Test RMSE=5.337044, Time=53.852 sec
[18:53:29] Epoch 56: Loss=4.874546, Train RMSE=5.206619, Test RMSE=5.217264, Time=54.714 sec
