===============================
Start experiment at Sat Sep 27 20:48:04 UTC 2025
Config: batch_size=32, hidden=30, lr=0.005, epochs=160
[20:48:07] Running experiment with batch_size=32, hidden=30, lr=0.005, epochs=160, glob_interval=200, shuffle=True
[20:48:22] Data loading time: 14.361 sec
[20:50:17] Epoch 1: Loss=6.570927, Train RMSE=15.449108, Test RMSE=15.444546, Time=115.742 sec
[20:52:05] Epoch 2: Loss=5.855025, Train RMSE=7.173903, Test RMSE=7.185810, Time=107.774 sec
[20:53:57] Epoch 3: Loss=5.782981, Train RMSE=7.013087, Test RMSE=7.025407, Time=111.951 sec
[20:55:52] Epoch 4: Loss=5.676130, Train RMSE=7.075502, Test RMSE=7.087648, Time=114.995 sec
[20:57:48] Epoch 5: Loss=5.580144, Train RMSE=7.098696, Test RMSE=7.111252, Time=115.967 sec
[20:59:37] Epoch 6: Loss=5.482899, Train RMSE=6.959311, Test RMSE=6.972261, Time=108.466 sec
[21:01:28] Epoch 7: Loss=5.367477, Train RMSE=6.864357, Test RMSE=6.877570, Time=110.974 sec
[21:03:19] Epoch 8: Loss=5.220282, Train RMSE=6.651910, Test RMSE=6.665394, Time=111.189 sec
[21:05:19] Epoch 9: Loss=5.134588, Train RMSE=6.358638, Test RMSE=6.371717, Time=120.487 sec
[21:07:27] Epoch 10: Loss=5.421864, Train RMSE=6.481368, Test RMSE=6.493147, Time=127.217 sec
[21:09:16] Epoch 11: Loss=5.523660, Train RMSE=6.455321, Test RMSE=6.467406, Time=109.463 sec
[21:11:09] Epoch 12: Loss=5.362450, Train RMSE=6.376054, Test RMSE=6.388470, Time=113.357 sec
[21:12:59] Epoch 13: Loss=5.284397, Train RMSE=6.372858, Test RMSE=6.386155, Time=109.198 sec
[21:14:47] Epoch 14: Loss=5.218346, Train RMSE=6.148162, Test RMSE=6.161428, Time=108.786 sec
[21:17:10] Epoch 15: Loss=5.208118, Train RMSE=6.125479, Test RMSE=6.139218, Time=142.165 sec
[21:19:04] Epoch 16: Loss=5.149471, Train RMSE=6.481898, Test RMSE=6.494093, Time=113.929 sec
[21:20:58] Epoch 17: Loss=5.117620, Train RMSE=5.937616, Test RMSE=5.949949, Time=114.167 sec
[21:22:48] Epoch 18: Loss=5.068777, Train RMSE=6.454216, Test RMSE=6.465391, Time=110.661 sec
[21:24:38] Epoch 19: Loss=5.065361, Train RMSE=5.734281, Test RMSE=5.749837, Time=110.058 sec
[21:26:30] Epoch 20: Loss=5.037423, Train RMSE=8.549868, Test RMSE=8.558417, Time=111.737 sec
[21:28:33] Epoch 21: Loss=5.104322, Train RMSE=5.570118, Test RMSE=5.583394, Time=122.758 sec
[21:30:25] Epoch 22: Loss=5.030282, Train RMSE=5.789605, Test RMSE=5.804340, Time=111.522 sec
[21:32:16] Epoch 23: Loss=5.017792, Train RMSE=5.429495, Test RMSE=5.442449, Time=111.035 sec
[21:34:06] Epoch 24: Loss=4.983658, Train RMSE=5.444913, Test RMSE=5.458677, Time=110.089 sec
[21:35:57] Epoch 25: Loss=4.964612, Train RMSE=5.343960, Test RMSE=5.356140, Time=110.875 sec
[21:38:10] Epoch 26: Loss=4.927656, Train RMSE=5.427109, Test RMSE=5.439018, Time=133.637 sec
[21:39:57] Epoch 27: Loss=4.927063, Train RMSE=5.437226, Test RMSE=5.448880, Time=107.088 sec
[21:41:45] Epoch 28: Loss=4.895253, Train RMSE=5.445355, Test RMSE=5.461129, Time=107.683 sec
[21:43:35] Epoch 29: Loss=4.982613, Train RMSE=5.342053, Test RMSE=5.361377, Time=110.365 sec
[21:45:33] Epoch 30: Loss=4.902885, Train RMSE=8.234425, Test RMSE=8.237678, Time=117.346 sec
[21:47:30] Epoch 31: Loss=4.930430, Train RMSE=5.421789, Test RMSE=5.435219, Time=117.412 sec
[21:49:33] Epoch 32: Loss=4.875295, Train RMSE=5.305106, Test RMSE=5.317110, Time=122.805 sec
[21:51:16] Epoch 33: Loss=4.868797, Train RMSE=5.439592, Test RMSE=5.450864, Time=103.019 sec
[21:53:02] Epoch 34: Loss=4.875478, Train RMSE=5.266254, Test RMSE=5.278229, Time=106.399 sec
